date_by_week,lineage,counts,percent_lineage,sample_size,lower_95%_CI,upper_95%_CI
5/10/20,B.1,3,60,5,14.66327996,94.72550495
5/10/20,B.1.1.7 (UK),0,0,5,0,52.18237501
5/10/20,B.1.2,0,0,5,0,52.18237501
5/10/20,B.1.243,0,0,5,0,52.18237501
5/10/20,B.1.311,0,0,5,0,52.18237501
5/10/20,B.1.351 (South Africa),0,0,5,0,52.18237501
5/10/20,B.1.427 (California),0,0,5,0,52.18237501
5/10/20,B.1.429 (California),0,0,5,0,52.18237501
5/10/20,B.1.525,0,0,5,0,52.18237501
5/10/20,B.1.526 (NY),0,0,5,0,52.18237501
5/10/20,B.1.617 (India),0,0,5,0,52.18237501
5/10/20,P.1 (Brazil),0,0,5,0,52.18237501
5/10/20,P.2,0,0,5,0,52.18237501
5/10/20,Other,2,40,5,5.274495053,85.33672004
5/17/20,B.1,6,85.71428571,7,42.1276803,99.63897031
5/17/20,B.1.1.7 (UK),0,0,7,0,40.96163972
5/17/20,B.1.2,0,0,7,0,40.96163972
5/17/20,B.1.243,0,0,7,0,40.96163972
5/17/20,B.1.311,0,0,7,0,40.96163972
5/17/20,B.1.351 (South Africa),0,0,7,0,40.96163972
5/17/20,B.1.427 (California),0,0,7,0,40.96163972
5/17/20,B.1.429 (California),0,0,7,0,40.96163972
5/17/20,B.1.525,0,0,7,0,40.96163972
5/17/20,B.1.526 (NY),0,0,7,0,40.96163972
5/17/20,B.1.617 (India),0,0,7,0,40.96163972
5/17/20,P.1 (Brazil),0,0,7,0,40.96163972
5/17/20,P.2,0,0,7,0,40.96163972
5/17/20,Other,1,14.28571429,7,0.361029686,57.8723197
5/24/20,B.1,2,33.33333333,6,4.327186829,77.72219045
5/24/20,B.1.1.7 (UK),0,0,6,0,45.92581264
5/24/20,B.1.2,0,0,6,0,45.92581264
5/24/20,B.1.243,0,0,6,0,45.92581264
5/24/20,B.1.311,0,0,6,0,45.92581264
5/24/20,B.1.351 (South Africa),0,0,6,0,45.92581264
5/24/20,B.1.427 (California),0,0,6,0,45.92581264
5/24/20,B.1.429 (California),0,0,6,0,45.92581264
5/24/20,B.1.525,0,0,6,0,45.92581264
5/24/20,B.1.526 (NY),0,0,6,0,45.92581264
5/24/20,B.1.617 (India),0,0,6,0,45.92581264
5/24/20,P.1 (Brazil),0,0,6,0,45.92581264
5/24/20,P.2,0,0,6,0,45.92581264
5/24/20,Other,4,66.66666667,6,22.27780955,95.67281317
6/7/20,B.1,0,0,1,0,97.5
6/7/20,B.1.1.7 (UK),0,0,1,0,97.5
6/7/20,B.1.2,0,0,1,0,97.5
6/7/20,B.1.243,0,0,1,0,97.5
6/7/20,B.1.311,0,0,1,0,97.5
6/7/20,B.1.351 (South Africa),0,0,1,0,97.5
6/7/20,B.1.427 (California),0,0,1,0,97.5
6/7/20,B.1.429 (California),0,0,1,0,97.5
6/7/20,B.1.525,0,0,1,0,97.5
6/7/20,B.1.526 (NY),0,0,1,0,97.5
6/7/20,B.1.617 (India),0,0,1,0,97.5
6/7/20,P.1 (Brazil),0,0,1,0,97.5
6/7/20,P.2,0,0,1,0,97.5
6/7/20,Other,1,100,1,2.5,100
6/28/20,B.1,0,0,2,0,84.1886117
6/28/20,B.1.1.7 (UK),0,0,2,0,84.1886117
6/28/20,B.1.2,0,0,2,0,84.1886117
6/28/20,B.1.243,0,0,2,0,84.1886117
6/28/20,B.1.311,0,0,2,0,84.1886117
6/28/20,B.1.351 (South Africa),0,0,2,0,84.1886117
6/28/20,B.1.427 (California),0,0,2,0,84.1886117
6/28/20,B.1.429 (California),0,0,2,0,84.1886117
6/28/20,B.1.525,0,0,2,0,84.1886117
6/28/20,B.1.526 (NY),0,0,2,0,84.1886117
6/28/20,B.1.617 (India),0,0,2,0,84.1886117
6/28/20,P.1 (Brazil),0,0,2,0,84.1886117
6/28/20,P.2,0,0,2,0,84.1886117
6/28/20,Other,2,100,2,15.8113883,100
7/12/20,B.1,1,50,2,1.257911709,98.74208829
7/12/20,B.1.1.7 (UK),0,0,2,0,84.1886117
7/12/20,B.1.2,0,0,2,0,84.1886117
7/12/20,B.1.243,0,0,2,0,84.1886117
7/12/20,B.1.311,0,0,2,0,84.1886117
7/12/20,B.1.351 (South Africa),0,0,2,0,84.1886117
